Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9592494481236203,0.9594329687991175,0.9592494481236203,0.9593377850064614
Random Forest,0.9592494481236203,0.9594329687991175,0.9592494481236203,0.9593377850064614
K Nearest Neighbours,0.8977924944812362,0.898565372737319,0.8977924944812362,0.8948612232826805
Support Vector Machines,0.9313024282560707,0.9310827669223289,0.9313024282560707,0.9296813913888272
Gradient Boosting,0.9737306843267108,0.973222609994322,0.9737306843267108,0.9732205868855591
AdaBoost,0.9153200883002207,0.9213881769568704,0.9153200883002207,0.9176199064372769
XGBoost,0.9735099337748344,0.9731059902098658,0.9735099337748344,0.9732016047977073
Neural Network,0.9215452538631347,0.9256284938314211,0.9215452538631347,0.9095062969120908
